added_route_id,trip_id
32,55888991
33,55888991
32,55889017
33,55889017
32,55806032
33,55806032
32,57591022
33,57591022
32,57591048
33,57591048
32,57429513
33,57429513
40,55889693
50,55889693
40,55889798
50,55889798
40,55805580
50,55805580
40,55805581
50,55805581
40,55805583
50,55805583
40,55805586
50,55805586
40,55808524
50,55808524
40,55808525
50,55808525
40,55808526
50,55808526
40,55808527
50,55808527
40,55808528
50,55808528
40,55808529
50,55808529
40,55808530
50,55808530
40,55808531
50,55808531
40,57591660
50,57591660
40,57591747
50,57591747
40,57429072
50,57429072
40,57429073
50,57429073
40,57429075
50,57429075
40,57429078
50,57429078
40,57520713
50,57520713
40,57520714
50,57520714
40,57520715
50,57520715
40,57520716
50,57520716
40,57520717
50,57520717
40,57520718
50,57520718
40,57520719
50,57520719
40,57520720
50,57520720
40,57564899
50,57564899
40,57564900
50,57564900
40,57564901
50,57564901
40,57564902
50,57564902
40,57564903
50,57564903
40,57564904
50,57564904
40,57564905
50,57564905
40,57564906
50,57564906
40,55889669
50,55889669
40,55889680
50,55889680
40,55805582
50,55805582
40,55805584
50,55805584
40,55805585
50,55805585
40,55805587
50,55805587
40,55808523
50,55808523
40,55808532
50,55808532
40,55808533
50,55808533
40,55808534
50,55808534
40,55808535
50,55808535
40,55808536
50,55808536
40,55808537
50,55808537
40,55808538
50,55808538
40,57591637
50,57591637
40,57591648
50,57591648
40,57429074
50,57429074
40,57429076
50,57429076
40,57429077
50,57429077
40,57429079
50,57429079
40,57520712
50,57520712
40,57520721
50,57520721
40,57520722
50,57520722
40,57520723
50,57520723
40,57520724
50,57520724
40,57520725
50,57520725
40,57520726
50,57520726
40,57520727
50,57520727
40,57564898
50,57564898
40,57564907
50,57564907
40,57564908
50,57564908
40,57564909
50,57564909
40,57564910
50,57564910
40,57564911
50,57564911
40,57564912
50,57564912
40,57564913
50,57564913
441,55970618
442,55970618
441,55970626
442,55970626
441,55970627
442,55970627
441,55970647
442,55970647
441,55970652
442,55970652
441,55970658
442,55970658
441,55970661
442,55970661
441,55970665
442,55970665
441,55970668
442,55970668
441,55970673
442,55970673
441,55970674
442,55970674
441,55970679
442,55970679
441,55970686
442,55970686
441,55970689
442,55970689
441,55970695
442,55970695
441,55970705
442,55970705
441,55970715
442,55970715
441,55970718
442,55970718
441,55970722
442,55970722
441,55971023
442,55971023
441,55971027
442,55971027
441,55971029
442,55971029
441,55971030
442,55971030
441,55971031
442,55971031
441,55971032
442,55971032
441,55971035
442,55971035
441,55958767
442,55958767
441,55958787
442,55958787
441,57382443
442,57382443
441,57382445
442,57382445
441,57382447
442,57382447
441,57382451
442,57382451
441,57382457
442,57382457
441,57382459
442,57382459
441,57382460
442,57382460
441,57382463
442,57382463
441,57382479
442,57382479
441,57382486
442,57382486
441,57382498
442,57382498
441,57382508
442,57382508
441,57382589
442,57382589
441,57380647
442,57380647
441,57380666
442,57380666
441,57383358
442,57383358
441,57383377
442,57383377
441,55970633
442,55970633
441,55970637
442,55970637
441,55970639
442,55970639
441,55970641
442,55970641
441,55970644
442,55970644
441,55970645
442,55970645
441,55970648
442,55970648
441,55970655
442,55970655
441,55970657
442,55970657
441,55970659
442,55970659
441,55970669
442,55970669
441,55970676
442,55970676
441,55970682
442,55970682
441,55970684
442,55970684
441,55970685
442,55970685
441,55970690
442,55970690
441,55970693
442,55970693
441,55970700
442,55970700
441,55970713
442,55970713
441,55970749
442,55970749
441,55971024
442,55971024
441,55971025
442,55971025
441,55971026
442,55971026
441,55971028
442,55971028
441,55971033
442,55971033
441,55971034
442,55971034
441,55958766
442,55958766
441,55958769
442,55958769
441,55958809
442,55958809
441,57382444
442,57382444
441,57382446
442,57382446
441,57382449
442,57382449
441,57382450
442,57382450
441,57382454
442,57382454
441,57382455
442,57382455
441,57382456
442,57382456
441,57382480
442,57382480
441,57382482
442,57382482
441,57382490
442,57382490
441,57382500
442,57382500
441,57382509
442,57382509
441,57382515
442,57382515
441,57382537
442,57382537
441,57380646
442,57380646
441,57380649
442,57380649
441,57380688
442,57380688
441,57383357
442,57383357
441,57383360
442,57383360
441,57383399
442,57383399
62,55914386
76,55914386
62,55914398
76,55914398
62,55914401
76,55914401
62,55914424
76,55914424
62,55914425
