route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id,canonical_route_pattern
CR-Needham-d774fb34-1,CR-Needham,1,Needham Heights - South Station,,1,200101000,CR-595517-630,2
CR-Needham-a01e12e1-1,CR-Needham,1,Needham Heights - South Station,,3,200101030,CR-595697-608,2
CR-Needham-102674b1-1,CR-Needham,1,Needham Heights - South Station,,3,200101040,CR-595583-620,2
CR-Needham-C1-1,CR-Needham,1,Needham Heights - South Station,,5,200101991,canonical-CR-Needham-C1-1,1
CR-Newburyport-88ea632c-0,CR-Newburyport,0,North Station - Newburyport,,1,200110000,CR-597905-157,2
CR-Newburyport-360e29c2-0,CR-Newburyport,0,North Station - Rockport,,1,200110010,CR-597954-123,2
CR-Newburyport-2e5dcf28-0,CR-Newburyport,0,North Station - Rockport,,2,200110060,CR-597958-125,2
CR-Newburyport-a167e624-0,CR-Newburyport,0,North Station - Newburyport,,2,200110080,CR-597906-161,2
CR-Newburyport-a5a0fd2f-0,CR-Newburyport,0,North Station - Beverly,,3,200110100,CR-597936-197,2
CR-Newburyport-dd9f791d-0,CR-Newburyport,0,North Station - Rockport,,3,200110110,CR-598024-103,2
CR-Newburyport-8ac7b3db-0,CR-Newburyport,0,Salem - Newburyport,,3,200110120,CR-597940-167,2
CR-Newburyport-C1-0,CR-Newburyport,0,North Station - Newburyport,,5,200110991,canonical-CR-Newburyport-C1-0,1
CR-Newburyport-C2-0,CR-Newburyport,0,North Station - Rockport,,5,200110992,canonical-CR-Newburyport-C2-0,1
CR-Newburyport-57528297-1,CR-Newburyport,1,Newburyport - North Station,,1,200111000,CR-597922-152,2
CR-Newburyport-4b171c2a-1,CR-Newburyport,1,Rockport - North Station,,1,200111010,CR-597956-122,2
CR-Newburyport-ca27047e-1,CR-Newburyport,1,Rockport - North Station,,2,200111050,CR-597960-118,2
CR-Newburyport-dfd22042-1,CR-Newburyport,1,Newburyport - North Station,,2,200111070,CR-597900-146,2
CR-Newburyport-f25e78f8-1,CR-Newburyport,1,Beverly - North Station,,3,200111090,CR-597933-192,2
CR-Newburyport-1e00c042-1,CR-Newburyport,1,Beverly - North Station,,3,200111100,CR-597938-198,2
CR-Newburyport-C1-1,CR-Newburyport,1,Newburyport - North Station,,5,200111991,canonical-CR-Newburyport-C1-1,1
CR-Newburyport-C2-1,CR-Newburyport,1,Rockport - North Station,,5,200111992,canonical-CR-Newburyport-C2-1,1
CR-Providence-9cf54fb3-0,CR-Providence,0,South Station - Wickford Junction,,1,200120000,CR-595553-815,2
CR-Providence-9515a09b-0,CR-Providence,0,South Station - Stoughton,,1,200120010,CR-595508-879,2
CR-Providence-743ff41d-0,CR-Providence,0,South Station - Providence,,2,200120030,CR-595539-831,2
CR-Providence-cf299c9f-0,CR-Providence,0,South Station - Stoughton,,2,200120060,CR-595488-873,2
CR-Providence-a9a49f44-0,CR-Providence,0,South Station - Wickford Junction,,3,200120080,CR-595552-827,2
CR-Providence-d36ab58d-0,CR-Providence,0,South Station - Stoughton,,3,200120090,CR-595666-893,2
CR-Providence-d31884e1-0,CR-Providence,0,South Station - Providence,,3,200120110,CR-612611-1813,2
CR-Providence-410d3e77-0,CR-Providence,0,South Station - Providence,,3,200120120,CR-595614-813,2
CR-Providence-09309983-0,CR-Providence,0,South Station - Wickford Junction,,3,200120130,CR-595641-809,2
CR-Providence-43081d8a-0,CR-Providence,0,South Station - Providence,,3,200120140,CR-595774-839,2
CR-Providence-C1-0,CR-Providence,0,South Station - Wickford Junction,,5,200120991,canonical-CR-Providence-C1-0,1
CR-Providence-C2-0,CR-Providence,0,South Station - Stoughton,,5,200120992,canonical-CR-Providence-C2-0,1
CR-Providence-e9395acc-1,CR-Providence,1,Wickford Junction - South Station,,1,200121000,CR-595551-826,2
CR-Providence-6cae46be-1,CR-Providence,1,Stoughton - South Station,,1,200121010,CR-595487-874,2
CR-Providence-c2a7e4dc-1,CR-Providence,1,Providence - South Station,,2,200121030,CR-595613-822,2
CR-Providence-30afc537-1,CR-Providence,1,Providence - South Station,,3,200121060,CR-595554-816,2
CR-Providence-785f05b1-1,CR-Providence,1,Wickford Junction - South Station,,3,200121070,CR-595681-810,2
CR-Providence-0465673f-1,CR-Providence,1,Providence - South Station,,3,200121080,CR-595722-818,2
CR-Providence-b469315c-1,CR-Providence,1,Providence - South Station,,3,200121100,CR-595980-1800,2
CR-Providence-53ce6838-1,CR-Providence,1,Wickford Junction - South Station,,3,200121110,CR-595737-836,2
CR-Providence-C1-1,CR-Providence,1,Wickford Junction - South Station,,5,200121991,canonical-CR-Providence-C1-1,1
CR-Providence-C2-1,CR-Providence,1,Stoughton - South Station,,5,200121992,canonical-CR-Providence-C2-1,1
CR-Foxboro-71c5586e-0,CR-Foxboro,0,South Station - Foxboro,,1,200130000,CR-608329-9743-ES,2
CR-Foxboro-C1-0,CR-Foxboro,0,South Station - Foxboro,,5,200130991,canonical-CR-Foxboro-C1-0,1
CR-Foxboro-C2-0,CR-Foxboro,0,Foxboro - Providence,,5,200130992,canonical-CR-Foxboro-C2-0,1
CR-Foxboro-19217ef9-1,CR-Foxboro,1,Providence - Foxboro,,1,200131000,CR-608328-9880-ES,2
CR-Foxboro-C1-1,CR-Foxboro,1,Foxboro - South Station,,5,200131991,canonical-CR-Foxboro-C1-1,1
CR-Foxboro-C2-1,CR-Foxboro,1,Providence - Foxboro,,5,200131992,canonical-CR-Foxboro-C2-1,1
CapeFlyer-c6405ea1-0,CapeFlyer,0,South Station - Hyannis,,1,210000000,canonical-CapeFlyer-C1-0,1
CapeFlyer-323a1583-1,CapeFlyer,1,Hyannis - South Station,,1,210001000,canonical-CapeFlyer-C1-1,1
Boat-F4-0-0,Boat-F4,0,Long Wharf - Charlestown Navy Yard,,1,300010000,Boat-F4-0630-Long-B-01-Weekday-Summer-23,0
Boat-F4-0-1,Boat-F4,1,Charlestown Navy Yard - Long Wharf,,1,300011000,Boat-F4-0645-Charlestown-B-01-Weekday-Summer-23,0
Boat-F1-0-0,Boat-F1,0,Long Wharf - Hingham via Logan Airport & Hull,,1,300020000,Boat-F1-1100-Long-BF2H-01-Weekday-Summer-23,0
Boat-F1-1-0,Boat-F1,0,Long Wharf - Hingham via Hull,,1,300020010,Boat-F1-1540-Long-BF2H-04-Weekday-Summer-23,0
Boat-F1-2-0,Boat-F1,0,Rowes Wharf - Hingham,Weekdays only,1,300020020,Boat-F1-0650-Rowes-BF1-01-Weekday-Summer-23,0
Boat-F1-3-0,Boat-F1,0,Long Wharf - Hull,,2,300020030,Boat-F1-0800-Long-BF2H-01-Weekday-Summer-23,0
Boat-F1-4-0,Boat-F1,0,Long Wharf - Hingham via Logan Airport,,2,300020040,Boat-F1-0910-Long-BF2H-01-Weekday-Summer-23,0
Boat-F1-5-0,Boat-F1,0,Long Wharf - Hingham via Georges Island & Hull,Summer weekday middays only,1,300020050,Boat-F1-1300-Long-BF2H-01-Weekday-Summer-23,0
Boat-F1-6-0,Boat-F1,0,Long Wharf - Hingham,,2,300020060,Boat-F1-1215-Long-BF2H-03-Weekday-Summer-23,0
Boat-F1-7-0,Boat-F1,0,Long Wharf - Hingham via Georges Island,,2,300020070,Boat-F1-1200-Long-BF2H-02-Saturday-Summer-23,0
Boat-F1-9-0,Boat-F1,0,Long Wharf - Hull via Logan Airport,,2,300020090,Boat-F1-0625-Long-BF2H-01-Weekday-Summer-23,0
Boat-F1-0-1,Boat-F1,1,Hingham - Long Wharf via Hull & Logan Airport,,1,300021000,Boat-F1-1300-Hingham-BF2H-03-Weekday-Summer-23,0
Boat-F1-1-1,Boat-F1,1,Hingham - Long Wharf via Hull,,1,300021010,Boat-F1-0540-Hingham-BF2H-01-Weekday-Summer-23,0
Boat-F1-2-1,Boat-F1,1,Hingham - Rowes Wharf,Weekdays only,1,300021020,Boat-F1-0600-Hingham-BF1-01-Weekday-Summer-23,0
Boat-F1-3-1,Boat-F1,1,Hull - Long Wharf,,2,300021030,Boat-F1-0730-Hull-BF2H-01-Weekday-Summer-23,0
Boat-F1-4-1,Boat-F1,1,Hingham - Long Wharf via Logan Airport,,2,300021040,Boat-F1-1545-Hingham-BF2H-05-Weekday-Summer-23,0
Boat-F1-6-1,Boat-F1,1,Hingham - Long Wharf,,2,300021060,Boat-F1-1400-Hingham-BF2H-01-Weekday-Summer-23,0
Boat-F1-7-1,Boat-F1,1,Hingham - Long Wharf via Georges Island,,2,300021070,Boat-F1-0900-Hingham-BF2H-02-Saturday-Summer-23,0
Boat-F1-8-1,Boat-F1,1,Hingham - Long Wharf via Georges Island & Logan Airport,Summer weekday middays only,2,300021080,Boat-F1-1000-Hingham-BF2H-01-Weekday-Summer-23,0
Boat-EastBoston-0-0,Boat-EastBoston,0,Long Wharf - Lewis Mall Wharf,,1,300050000,Boat-EastBoston-0715-Long-BEB-01-Weekday-Summer-23,0
Boat-EastBoston-0-1,Boat-EastBoston,1,Lewis Mall Wharf - Long Wharf,,1,300051000,Boat-EastBoston-0700-Lewis-BEB-01-Weekday-Summer-23,0
Boat-Lynn-0-0,Boat-Lynn,0,Long Wharf - Blossom Street Pier,,1,300070000,Boat-Lynn-0645-Long-South-4-BLY-01-Weekday-Summer-23,0
Boat-Lynn-0-1,Boat-Lynn,1,Blossom Street Pier - Long Wharf,,1,300071000,Boat-Lynn-0600-Blossom-BLY-01-Weekday-Summer-23,0
Boat-F6-1-0,Boat-F6,0,Central Wharf - Winthrop Landing via Fan Pier & Quincy,,1,300090010,Boat-F6-1615-Aquarium-BWN-01-Weekday-Summer-23,0
Boat-F6-3-0,Boat-F6,0,Central Wharf - Winthrop Landing via Fan Pier,,2,300090030,Boat-F6-1125-Aquarium-BWN-01-Weekday-Summer-23,0
Boat-F6-5-0,Boat-F6,0,Central Wharf - Winthrop Landing via Quincy,,2,300090050,Boat-F6-0725-Aquarium-BWN-01-Weekday-Summer-23,0
Boat-F6-6-0,Boat-F6,0,Central Wharf - Winthrop Landing,,2,300090060,Boat-F6-1750-Aquarium-BWN-01-Weekday-Summer-23,0
Boat-F6-7-0,Boat-F6,0,Quincy - Winthrop Landing,,2,300090070,Boat-F6-1840-Quincy-BWN-01-Weekday-Summer-23,0
Boat-F6-0-1,Boat-F6,1,Winthrop Landing - Central Wharf via Quincy & Logan Airport,,1,300091000,Boat-F6-0630-Winthrop-BWN-01-Weekday-Summer-23,0
Boat-F6-2-1,Boat-F6,1,Winthrop Landing - Central Wharf via Logan Airport & Fan Pier,,2,300091020,Boat-F6-0805-Winthrop-BWN-01-Weekday-Summer-23,0
Boat-F6-4-1,Boat-F6,1,Winthrop Landing - Central Wharf via Logan Airport,,2,300091040,Boat-F6-1535-Winthrop-BWN-01-Weekday-Summer-23,0
Boat-F6-7-1,Boat-F6,1,Winthrop Landing - Quincy,,2,300091070,Boat-F6-1815-Winthrop-BWN-01-Weekday-Summer-23,0
747-_-0,747,0,Ruggles Station - Sullivan Square Station,Weekdays only,1,400200000,55802783,0
747-_-1,747,1,Sullivan Square Station - Ruggles Station,Weekdays only,1,400201000,55802789,0
708-1-0,708,0,Andrew Station - Ave Louis Pasteur,Weekdays only,1,400300000,55803330,0
708-_-0,708,0,Andrew Station - Brookline Ave,Weekdays only,1,400300030,55799091,0
708-_-1,708,1,Brookline Ave - Andrew Station,Weekdays only,1,400301000,55799544,0
708-1-1,708,1,Ave Louis Pasteur - Andrew Station,Weekdays only,1,400301030,55803334,0
1-_-0,1,0,Nubian Station - Harvard Square,,1,500100000,55800272,0
1-_-1,1,1,Harvard Square - Nubian Station,,1,500101000,55800941,0
4-4-0,4,0,Marine Park - North Station (Detour),Weekdays only,1,500400000,55803256,0
4-3-0,4,0,Marine Park - North Station via South Station (Detour),Weekdays only,1,500400020,55802830,0
4-3-1,4,1,North Station - Marine Park (Detour),Weekdays only,1,500401000,55802829,0
4-4-1,4,1,North Station - Marine Park via South Station (Detour),Weekdays only,1,500401020,55803257,0
7-1-0,7,0,Otis St & Summer St - City Point,,1,500700000,55803229,0
7-2-0,7,0,Otis St & Summer St - City Point via East 1st St,Weekdays only,2,500700040,55801401,0
7-7-0,7,0,Chauncy St & Summer St - City Point,AM peak hours only,3,500700070,55799491,0
7-1-1,7,1,City Point - Otis St & Summer St,,1,500701000,55803249,0
7-2-1,7,1,City Point - Otis St & Summer St via East 1st St,Weekdays only,2,500701040,55803234,0
8-9-0,8,0,Kenmore Station - Harbor Point via South Bay Center,,1,500800000,55803135,0
8-1-0,8,0,Kenmore Station - Harbor Point,,2,500800040,55803068,0
8-D-0,8,0,Kenmore Station - Ruggles Station,School days only,3,500800080,55802888_2,0
8-9-1,8,1,Harbor Point - Kenmore Station via South Bay Center,,1,500801000,55803137,0
8-1-1,8,1,Harbor Point - Kenmore Station,,2,500801040,55803069,0
8-D-1,8,1,Ruggles Station - Kenmore Station,School days only,3,500801080,55799256_2,0
9-_-0,9,0,Copley Station - City Point,,1,500900000,55803288,0
9-1-0,9,0,Copley Station - City Point via L St,Weekday mornings only,2,500900040,55802867,0
9-5-0,9,0,Ave Louis Pasteur - City Point via Andrew Station,School days only,3,500900070,55803309,0
9-_-1,9,1,City Point - Copley Station,,1,500901000,55802863,0
9-4-1,9,1,City Point - Kenmore Station via Ave Louis Pasteur,School days only,3,500901040,55800032,0
10-9-0,10,0,Copley Square - City Point via South Bay Center,,1,501000000,55802865,0
10-8-0,10,0,Townsend St & Warren St - City Point via Nubian Station,School days only,3,501000040,55803301,0
10-E-0,10,0,Andrew Station - City Point,School days only,3,501000060,55800766_2,0
10-5-0,10,0,Copley Station - City Point,Late nights only,3,501000080,55800004,0
10-9-1,10,1,City Point - Copley Square via South Bay Center,,1,501001000,55802875,0
10-2-1,10,1,City Point - Franklin Park via Andrew,School days only,3,501001040,55800023,0
11-3-0,11,0,Chauncy St & Summer St - City Point,,1,501100000,55799482,0
11-3-1,11,1,City Point - Chauncy St & Summer St,,1,501101000,55800006,0
14-_-0,14,0,Heath St - Roslindale Square,,1,501400000,55890012,0
14-_-1,14,1,Roslindale Square - Heath St,,1,501401000,55890013,0
15-_-0,15,0,Ruggles Station - Kane Square,Weekdays only,1,501500000,55802924,0
15-2-0,15,0,Ruggles Station - St Peter's Square,Weekday middays only,2,501500030,55801623,0
15-1-0,15,0,Ruggles Station - Fields Corner Station,,2,501500050,55803462,0
15-3-0,15,0,Nubian Station - Kane Square,School days only,3,501500080,55800420,0
15-6-0,15,0,Malcolm X Blvd - Fields Corner Station,School days only,3,501500100,55801357,0
15-G-0,15,0,Haymarket - Mattapan via Nubian & Fields Corner (Merrimac Detour),Early mornings only,3,501500120,55800940,0
15-_-1,15,1,Kane Square - Ruggles Station,Weekdays only,1,501501000,55802923,0
15-2-1,15,1,St Peter's Square - Ruggles Station,Weekday middays only,2,501501030,55801468,0
15-1-1,15,1,Fields Corner Station - Ruggles Station,,2,501501050,55802988,0
15-4-1,15,1,Ashmont Station - Nubian Station,Early mornings only,3,501501090,55799225,0
15-3-1,15,1,Kane Square - Nubian Station,School days only,3,501501120,55801156,0
15-G-1,15,1,Mattapan - Haymarket via Fields Corner & Nubian (Merrimac Detour),Early mornings only,3,501501140,55801364,0
16-9-0,16,0,Andrew Station - Forest Hills Station via South Bay Center,,1,501600000,55803298,0
16-8-0,16,0,Harbor Point - Forest Hills Station via South Bay Center,Weekdays only,2,501600040,55803285,0
16-5-0,16,0,McCormack Housing - Forest Hills via South Bay Center,,2,501600060,55801380,0
16-3-0,16,0,Andrew Station - Forest Hills Station,,2,501600090,55799082,0
16-2-0,16,0,Harbor Point - Forest Hills Station,Weekdays only,3,501600130,55802015,0
16-9-1,16,1,Forest Hills Station - Andrew Station via South Bay Center,,2,501601000,55800618,0
16-8-1,16,1,Forest Hills Station - Harbor Point via South Bay Center,Weekdays only,2,501601040,55803284,0
16-5-1,16,1,Forest Hills - McCormack Housing via South Bay Center,,2,501601060,55800616,0
16-3-1,16,1,Forest Hills Station - Andrew Station,,2,501601090,55800599,0
16-2-1,16,1,Forest Hills Station - Harbor Point,Weekdays only,3,501601130,55800606,0
16-E-1,16,1,Franklin Park - Andrew Station,School days only,3,501601160,55800766_1,0
17-_-0,17,0,Andrew Station - Fields Corner Station,,1,501700000,55803246,0
17-_-1,17,1,Fields Corner Station - Andrew Station,,1,501701000,55803231,0
18-1-0,18,0,Andrew Station - Ashmont Station,,1,501800000,55799102,0
18-1-1,18,1,Ashmont Station - Andrew Station,,1,501801000,55799272,0
19-3-0,19,0,Kenmore Station - Fields Corner Station,Weekdays only,1,501900000,55802850,0
19-_-0,19,0,Ruggles Station - Fields Corner Station,Weekdays only,2,501900030,55802849,0
19-5-0,19,0,Warren St & Townsend St - Adams St & Gallivan Blvd,School days only,3,501900060,55803304,0
19-1-0,19,0,Malcolm X Blvd - Fields Corner Station,School days only,3,501900080,55801359,0
19-4-0,19,0,Ave Louis Pasteur - Adams St & Gallivan Blvd,School days only,3,501900100,55801344,0
19-3-1,19,1,Fields Corner Station - Kenmore Station,Weekdays only,1,501901000,55802848,0
19-_-1,19,1,Fields Corner Station - Ruggles Station,Weekdays only,2,501901030,55802851,0
19-E-1,19,1,Fields Corner Station - Ave Louis Pasteur,School days only,3,501901060,55799076_2,0
21-_-0,21,0,Forest Hills Station - Ashmont Station,,1,502100000,55889063_2,0
21-_-1,21,1,Ashmont Station - Forest Hills Station,,1,502101000,55889065,0
21-B-1,21,1,Ashmont Station - Forest Hills Station,School days only,3,502101040,55889062_1,0
22-_-0,22,0,Ruggles Station - Ashmont Station,,1,502200000,55802889,0
22-1-0,22,0,Malcolm X Blvd - Ashmont Station,School days only,3,502200040,55801360,0
22-2-0,22,0,Ave Louis Pasteur - Ashmont Station,School days only,3,502200060,55801343,0
22-3-0,22,0,Warren St & Townsend St - Ashmont Station,School days only,3,502200080,55801336,0
22-_-1,22,1,Ashmont Station - Ruggles Station,,1,502201000,55802890,0
23-_-0,23,0,Ruggles Station - Ashmont Station,,1,502300000,55801509,0
23-1-0,23,0,Townsend St & Warren St - Ashmont Station,School days only,3,502300040,55801338,0
23-3-0,23,0,Malcolm X Blvd - Ashmont Station,School days only,3,502300060,55801358,0
23-E-0,23,0,Nubian Station - Franklin Park,School days only,3,502300080,55801397_3,0
23-_-1,23,1,Ashmont Station - Ruggles Station,,1,502301000,55799227,0
23-G-1,23,1,Warren St & Quincy St - Nubian Station,School days only,3,502301040,55801339_1,0
23-2-1,23,1,Ashmont Station - Nubian Station,School days only,3,502301060,55799253,0
24-2-0,24,0,Ashmont Station - Wakefield Ave & Truman Pkwy,,1,502400000,55889236,0
24-_-0,24,0,Mattapan Station - Wakefield Ave & Truman Pkwy,Early mornings only,3,502400040,55805520,0
24-2-1,24,1,Wakefield Ave & Truman Pkwy - Ashmont Station,,1,502401000,55889237,0
24-5-1,24,1,Logan Square - Ashmont Station,Early mornings only,3,502401040,55805529,0
26-1-0,26,0,Gallivan Blvd - Ashmont Station via Washington St,,1,502600000,55889433,0
26-1-1,26,1,Ashmont Station - Gallivan Blvd via Norfolk St,,1,502601000,55889434,0
28-_-0,28,0,Ruggles Station - Mattapan Station,,1,502800000,56105730,0
28-9-0,28,0,Ave Louis Pasteur - Mattapan Station,School days only,3,502800040,55889033,0
28-6-0,28,0,Malcolm X Blvd - Mattapan Station (Omits Nubian Station),School days only,3,502800060,55801361,0
28-_-1,28,1,Mattapan Station - Ruggles Station,,1,502801000,56105729,0
28-2-1,28,1,Mattapan Station - Nubian Station,Early mornings only,3,502801040,55801362,0
28-5-1,28,1,Townsend St & Warren St - Ruggles Station,School days only,3,502801070,55801340,0
28-9-1,28,1,Mattapan Station - Avenue Louis Pasteur via Ruggles,Weekday early mornings only,3,502801090,56105795,0
29-1-0,29,0,Jackson Square Station - Mattapan Station via Franklin Field,Weekdays only,1,502900000,55889210,0
